smile,canonical_ikey,name,source,source_id,status,reframedb_url
CS(=O)(=O)OCC(OS(C)(=O)=O)C(O)C(O)C(COS(C)(=O)=O)OS(C)(=O)=O,UUVIQYKKKBJYJT,Mannosulfan,WuXi,CBR-HVAC-08713,plated and available for follow-up,https://reframedb.org//compound_data/UUVIQYKKKBJYJT;qid=Q76511839
CN(C)CCN(C)C1COc2ccccc2-c2c(C3CCCCC3)c3ccc(C(=O)O)cc3n2C1,YQUCBFIQSJVCOR,MK-3281,WuXi,CBR-HVAC-06695,plated and available for follow-up,https://reframedb.org//compound_data/YQUCBFIQSJVCOR;qid=Q27256448
CCC(CC1COC(N)=N1)c1ccccc1,IXDKFUBXESWHSL,RO-5256390,WuXi,CBR-HVAC-13723,plated and available for follow-up,https://reframedb.org//compound_data/IXDKFUBXESWHSL;qid=Q121775047
Cc1nc(N)nc2c1cc(-c1cn[nH]c1)c(=O)n2C1CCCC1,VMGMCPMGGFUNMP,784568,WuXi,CBR-HVAC-13765,plated and available for follow-up,https://reframedb.org//compound_data/VMGMCPMGGFUNMP;qid=Q27451406
COc1cccc(OCc2cc(C)ccn2)c1-c1ccc2c(c1)CCNCC2,KYANYGKXMNYFBX,2646264; GSK-2646264,WuXi,CBR-HVAC-13837,plated and available for follow-up,https://reframedb.org//compound_data/KYANYGKXMNYFBX;qid=nan
CNCc1ccc(OC)c([C@@]2(N3CCC[C@H]3c3ncco3)C(=O)N(S(=O)(=O)c3ccc(OC)cc3)c3ccc(Cl)cc32)c1,CCDGXHHJZYGCCT,Possible ABT-436,Chempartner,CBR-HVAC-14093_A,plated and available for follow-up,https://reframedb.org//compound_data/CCDGXHHJZYGCCT;qid=nan
CNCc1ccc(OC)c([C@]2(N3CCC[C@H]3c3ncco3)C(=O)N(S(=O)(=O)c3ccc(OC)cc3)c3ccc(Cl)cc32)c1,CCDGXHHJZYGCCT,Possible ABT-436,Chempartner,CBR-HVAC-14093_B,plated and available for follow-up,https://reframedb.org//compound_data/CCDGXHHJZYGCCT;qid=nan
CN1CC2CCCCC2(c2ccc(Cl)c(Cl)c2)C1,FEYNATNTSNGKKO,a possible structure for SEP-228432,WuXi,CBR-HVAC-13742_B,plated and available for follow-up,https://reframedb.org//compound_data/FEYNATNTSNGKKO;qid=nan
CN[C@H](CC(C)C)C1(c2ccc(Cl)cc2)CCC1,PLXKZKLXYHLWHR,"(R)-DMS; (R)-N,N-desmethylsibutramine",WuXi,CBR-HVAC-12617,plated and available for follow-up,https://reframedb.org//compound_data/PLXKZKLXYHLWHR;qid=Q27270902
CC(c1ccc(C#N)cc1)N1CCN(c2ccc(C#N)cc2Cl)C(c2ccc(Cl)cc2)C1,GTOMRUVXHAYDFH,"Giminabant; 1,2-diarylpiperazines, Merck & Co",WuXi,CBR-HVAC-12334,plated and available for follow-up,https://reframedb.org//compound_data/GTOMRUVXHAYDFH;qid=Q27272228
